NOTE: Runaway jobs are jobs that don't exist in the controller but have a start time and no end time in the database
ID|Name|Partition|Cluster|State|TimeSubmit|TimeStart|TimeEnd
1|job-general-1|general|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
2|job-chemistry-1|chemistry|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
3|job-physics-1|physics|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
4|job-biology-1|biology|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
5|job-finance-1|finance|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
6|job-mathematics-1|mathematics|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
7|job-unallocated-1|unallocated|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
8|job-general-1|general|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
9|job-chemistry-1|chemistry|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
10|job-physics-1|physics|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
11|job-biology-1|biology|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
12|job-finance-1|finance|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
13|job-mathematics-1|mathematics|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
14|job-unallocated-1|unallocated|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
15|job-general-1|general|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
16|job-chemistry-1|chemistry|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
17|job-physics-1|physics|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
18|job-biology-1|biology|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
19|job-finance-1|finance|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
20|job-mathematics-1|mathematics|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
21|job-unallocated-1|unallocated|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
22|job-general-1|general|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
23|job-chemistry-1|chemistry|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
24|job-physics-1|physics|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
25|job-biology-1|biology|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
26|job-finance-1|finance|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
27|job-mathematics-1|mathematics|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
28|job-unallocated-1|unallocated|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
29|job-general-2|general|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
30|job-chemistry-2|chemistry|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
31|job-physics-2|physics|stui-test-cluster|PENDING|2025-07-13T17:14:17|Unknown|Unknown
